=== EXTRUSION MARKUP BREAKDOWN ===
This section shows which portion of extrusion costs receive markup vs pass-through at cost

Opening,Total Extrusion Cost,Extrusion With Markup,Extrusion Without Markup (Hybrid Remaining),Markup %,Marked Up Result
"Opening 1",$353.25,$330.00,$23.25,300%,$1343.25
"Opening 2",$353.25,$330.00,$23.25,300%,$1343.25
"Opening 3",$452.01,$408.58,$43.43,300%,$1677.76
"Opening 4",$452.01,$408.58,$43.43,300%,$1677.76

TOTALS,$1610.53,$1477.16,$133.37,300%,$6042.02

Note: "Extrusion With Markup" = portion that receives the extrusion markup percentage
Note: "Extrusion Without Markup (Hybrid Remaining)" = portion passed through at cost (no markup applied)
Note: Marked Up Result = (With Markup × (1 + Markup%)) × (1 - Discount%) + Without Markup
